Unit2,Stimulus,ID.x,Region,Trial,Letter,StimSet,base_fr,stim_fr,basesd,stimsd,Z_score,stimID,Duration.s,FamUnfamSpecies,Species,FamUnfam,Clutch,Treatment,Age,DaysPostFledge,Mass,Date,No_reps,Hemisphere,Depth,ISI.check,Peak_V,Trough_V,Peak.to.Peak_s,Type,Quality,Exclude4PC,TroughBeforePeak,Notes,Accuracy.rcorr,Accuracy.count,Accuracy.cross_corr,normal_rcorr,normal_count,normal_cross_corr,Latency,p.value,sigYN,Peak2PeakRatio,Type0,TypeBN,TypeFL,RS_WN,pop_var_WN
B4_FL_TRIAL2_B,4,B4,FL,2,B,B4,5.75,6.764705882,3.545163158,2.564058202,0.320761845,WN,1.7,WN_WN,WN,WN,B,BEFI,30,9,13,1/11/22,15,L,0.89,x,-0.577,0.378,0.00024,NA,Good,Y,N,"Inverted, Drifts into spot around 200s, not really there before this (cut out first 200s for both units)",0.2828,0.3559,0.3056,0.0828,0.1559,0.1056,0.08,0.423828125,N,0.655112652,Field L,Field L,Narrow,1.014705882,10.63559689
B4_FL_TRIAL3_A,4,B4,FL,3,A,B4,2,2.398190045,1.779513042,1.755885448,0.319487822,WN,1.7,WN_WN,WN,WN,B,BEFI,30,9,13,1/11/22,15,R,1.14,ok,-0.4909,0.0884,0.00048,NA,Bad,Y,N,Inverted; Lost sweet spot after 250s but keep whole trial,0.11075,0.571166667,0.21325,-0.08925,0.371166667,0.01325,0.05,0.123944997,N,0.180077409,Field L,Field L,Broad,0.398190045,1.877643783
B4_FL_TRIAL3_B,4,B4,FL,3,B,B4,0.692307692,1.176470588,0.854850414,1.440876319,0.280320588,WN,1.7,WN_WN,WN,WN,B,BEFI,30,9,13,1/11/22,15,R,1.14,ok,0.4589,0,0.0015,NA,Bad,Y,N,Fat and ugly; Lost sweet spot after 250s but keep whole trial,0.130583333,0.515583333,0.355666667,-0.069416667,0.315583333,0.155666667,0.01,0.812380364,N,0,Field L,Field L,Broad,0.484162896,2.952969841
B4_FL_TRIAL4_A,4,B4,FL,4,A,B4,1.866666667,1.882352941,1.684664726,1.023693602,0.00694194,WN,1.7,WN_WN,WN,WN,B,BEFI,30,9,13,1/11/22,15,R,1.27,x,-0.4791,0.1626,0.00048,NA,Good,N,N,Inverted,0.135769231,0.349384615,0.178538462,-0.064230769,0.149384615,-0.021461538,NA,0.977335508,N,0.339386349,Field L,Field L,Broad,0.015686274,5.007366398
B4_FL_TRIAL5_A,4,B4,FL,5,A,B4,4,5.714285714,2.581988897,2.193475849,0.437858312,WN,1.7,WN_WN,WN,WN,B,BEFI,30,9,13,1/11/22,15,R,1.34,x,-0.4321,0.0835,0.00048,NA,Bad,Y,N,Inverted; Lost spot after 385s,0.234,0.461166667,0.305666667,0.034,0.261166667,0.105666667,0.16,0.498194057,N,0.193242305,Field L,Field L,Broad,1.714285714,14.54417061
B4_FL_TRIAL6_A,4,B4,FL,6,A,B4,5.5,6.838235295,2.672612419,4.134867952,1.505800766,WN,1.7,WN_WN,WN,WN,B,BEFI,30,9,13,1/11/22,15,R,1,x,-0.653,0.147,0.000376,NA,Bad,Y,N,"Inverted, lost spot after 500s",0.191857143,0.361714286,0.208714286,-0.008142857,0.161714286,0.008714286,NA,0.109375,N,0.225114855,Field L,Field L,Narrow,1.338235295,3.342344294
B4_FL_TRIAL6_B,4,B4,FL,6,B,B4,3.25,5.882352941,2.187627547,2.352941177,1.219146769,WN,1.7,WN_WN,WN,WN,B,BEFI,30,9,13,1/11/22,15,R,1,x,0.5741,-0.0418,0.00126,NA,Bad,Y,N, lost spot after 500s,0.158,0.599857143,0.235285714,-0.042,0.399857143,0.035285714,0.06,0.0234375,Y,0.072809615,Field L,Field L,Broad,2.632352941,5.208261246
C1_FL_TRIAL10_A,4,C1,FL,10,A,C12,7.533333333,7.37254902,3.542933947,3.765668645,-0.036961956,WN,1.7,WN_WN,WN,WN,C,xfostered,23,2,10,10/24/21,15,L,1.39,x,-0.686,0.225,0.00054,NA,Good,N,N,STIM SET 2 Inverted,0.1802,0.291,0.1977,-0.0198,0.091,-0.0023,NA,0.864677554,N,0.327988338,Field L,Field L,Broad,-0.160784313,19.32432142
C1_FL_TRIAL10_B,4,C1,FL,10,B,C12,9.2,9.019607842,3.384840152,3.157323765,-0.036294424,WN,1.7,WN_WN,WN,WN,C,xfostered,23,2,10,10/24/21,15,L,1.39,x,-1.132,0.565,0.00024,NA,Good,N,N,STIM SET 2 Inverted,0.1627,0.2839,0.2258,-0.0373,0.0839,0.0258,NA,0.934082031,N,0.499116608,Field L,Field L,Narrow,-0.180392158,24.38960399
C1_FL_TRIAL2_A,3,C1,FL,2,A,C1,2.857142857,4.411764706,2.032699715,1.994802936,0.683140697,WN,1.7,WN_WN,WN,WN,C,xfostered,23,2,10,10/24/21,15,R,1.16,x,-0.918,0.48,0.000239765,NA,Good,N,N,Inverted,0.175692308,0.270076923,0.211384615,-0.024307692,0.070076923,0.011384615,0.045,0.041870117,Y,0.522875817,Field L,Field L,Narrow,1.554621849,5.346868159
C1_FL_TRIAL3_A,3,C1,FL,3,A,C1,1.5,3.025210084,1.091928428,1.150323533,1.275047018,WN,1.7,WN_WN,WN,WN,C,xfostered,23,2,10,10/24/21,15,R,1.21,x,-0.776,0.201,0.000179992,NA,Good,N,N,Inverted,0.163384615,0.276384615,0.177846154,-0.036615385,0.076384615,-0.022153846,0.01,0.003862949,Y,0.259020619,Field L,Field L,Narrow,1.525210084,1.495533508
C1_FL_TRIAL4_A,3,C1,FL,4,A,C1,2.4,2.352941176,1.91982142,1.491448685,-0.021020298,WN,1.7,WN_WN,WN,WN,C,xfostered,23,2,10,10/24/21,15,R,1.26,x,-0.695,0.199,0.000540091,NA,Good,Y,N,Inverted,0.128214286,0.257,0.151571429,-0.071785714,0.057,-0.048428571,NA,0.932093283,N,0.286330935,Field L,Field L,Broad,-0.047058824,5.045536333
C1_FL_TRIAL4_B,3,C1,FL,4,B,C1,2.2,3.490196078,1.61245155,2.77217538,0.517274041,WN,1.7,WN_WN,WN,WN,C,xfostered,23,2,10,10/24/21,15,R,1.26,x,-0.661,0.3,0.00018,NA,Good,Y,N,Inverted,0.088214286,0.419142857,0.136214286,-0.111785714,0.219142857,-0.063785714,0.075,0.083160929,N,0.453857791,Field L,Field L,Narrow,1.290196078,6.446351404
C1_FL_TRIAL5_A,3,C1,FL,5,A,C1,2,3.176470588,1.309307341,3.150532128,0.393660983,WN,1.7,WN_WN,WN,WN,C,xfostered,23,2,10,10/24/21,15,R,1.36,x,-0.546,0.331,0.00018,NA,Good,N,N,Inverted,0.178153846,0.450384615,0.223692308,-0.021846154,0.250384615,0.023692308,0.135,0.293188173,N,0.606227106,Field L,Field L,Narrow,1.176470588,9.060207608
